sequence,frameType,bytes,encodeMs,latencyMs
117,Delta,2519,1.177,404.425
118,Delta,2126,1.192,373.670
119,Delta,2163,0.976,341.877
120,Delta,3002,1.080,310.764
121,Keyframe,9848,1.041,
122,Delta,1575,0.883,
123,Delta,2408,0.981,
124,Delta,1900,1.039,
125,Delta,1480,1.046,
126,Delta,2129,0.946,
127,Delta,3054,1.104,
128,Delta,1794,0.934,
129,Delta,1812,0.880,
130,Delta,1826,1.339,
131,Delta,3071,0.946,
132,Delta,1862,1.111,
133,Delta,1993,0.946,
134,Delta,1827,0.947,
135,Delta,2427,1.111,
136,Keyframe,9506,1.317,
137,Delta,1380,1.426,
138,Delta,2431,1.009,
139,Delta,1837,1.009,
140,Delta,1908,1.010,
141,Delta,1888,1.110,
142,Delta,2751,1.155,
143,Delta,2124,1.244,
144,Delta,2114,1.179,
145,Delta,2186,2.040,
146,Delta,2675,1.212,
147,Delta,2038,1.119,
148,Delta,1830,1.113,
149,Delta,1722,1.057,
150,Delta,2587,0.989,
151,Keyframe,9660,1.376,121.045
152,Delta,1352,0.998,
153,Delta,2467,1.251,
154,Delta,1635,0.988,
155,Delta,1671,1.128,
156,Delta,2186,1.067,
157,Delta,2994,10.648,
158,Delta,1972,1.408,
159,Delta,2004,1.206,
160,Delta,1850,1.117,
161,Delta,2817,0.992,
162,Delta,1965,1.168,
163,Delta,1975,1.080,
164,Delta,1877,1.135,
165,Delta,2888,1.081,
166,Keyframe,9771,0.999,123.810
167,Delta,1381,0.922,123.827
168,Delta,2445,1.125,123.802
169,Delta,1922,0.928,122.374
170,Delta,1919,0.963,
171,Delta,2066,1.167,
172,Delta,2661,1.553,
173,Delta,2132,0.886,
174,Delta,1961,0.941,
175,Delta,1968,1.019,
176,Delta,2473,0.978,
177,Delta,2028,1.287,
178,Delta,1963,1.379,
179,Delta,1968,1.166,
180,Delta,2637,1.447,
181,Keyframe,9688,1.231,122.536
182,Delta,1434,1.204,122.728
183,Delta,2561,1.157,121.058
184,Delta,1727,1.330,121.403
185,Delta,1677,1.133,120.121
186,Delta,1569,1.061,121.475
187,Delta,2329,0.991,121.778
188,Delta,2249,0.937,121.407
189,Delta,2120,0.956,120.249
190,Delta,2109,0.999,120.531
191,Delta,2449,1.159,134.291
192,Delta,1926,1.248,120.483
193,Delta,1713,1.070,133.883
194,Delta,2101,1.081,119.600
