sequence,frameType,bytes,encodeMs,latencyMs
253,Delta,1984,1.244,0.303
254,Delta,1970,1.433,0.102
255,Delta,2626,1.149,0.143
256,Keyframe,8975,1.279,0.269
257,Delta,1717,0.883,
258,Delta,2364,0.965,0.085
259,Delta,1792,1.051,0.106
260,Delta,1856,1.163,0.115
261,Delta,1797,0.871,0.091
262,Delta,2477,1.114,0.118
263,Delta,1886,1.056,0.116
264,Delta,1912,1.225,0.087
265,Delta,1950,0.935,0.112
266,Delta,2344,1.167,0.102
267,Delta,1895,1.054,0.093
268,Delta,1785,1.076,
269,Delta,1906,0.967,0.112
270,Delta,2203,0.988,0.101
271,Keyframe,8872,1.123,0.313
272,Delta,1769,1.110,0.114
273,Delta,2297,0.956,0.130
274,Delta,1728,1.009,0.093
275,Delta,1711,1.032,0.090
276,Delta,2062,1.024,0.117
277,Delta,2598,1.117,0.162
278,Delta,1912,1.163,0.093
279,Delta,1932,1.309,0.123
280,Delta,1943,1.143,0.097
281,Delta,2569,1.247,0.145
282,Delta,1969,1.170,0.106
283,Delta,1994,1.092,0.095
284,Delta,1957,1.208,0.093
285,Delta,2440,1.018,0.183
286,Keyframe,9091,1.168,0.215
287,Delta,1540,0.877,0.091
288,Delta,2070,1.000,0.115
289,Delta,1729,0.952,0.111
290,Delta,1723,1.170,0.096
291,Delta,1925,1.076,
292,Delta,2249,0.948,0.159
293,Delta,1923,1.103,0.136
294,Delta,1878,1.057,0.124
295,Delta,1979,0.964,0.089
296,Delta,2301,1.071,0.118
297,Delta,1837,1.207,0.098
298,Delta,1858,1.328,0.092
299,Delta,1804,1.011,0.095
300,Delta,2167,1.222,0.116
