sequence,frameType,bytes,encodeMs,latencyMs
261,Delta,1797,0.588,0.156
262,Delta,2477,0.611,0.171
263,Delta,1886,0.649,0.648
264,Delta,1912,0.808,0.400
265,Delta,1950,0.746,0.314
266,Delta,2344,0.577,0.155
267,Delta,1895,0.635,0.157
268,Delta,1785,0.618,0.194
269,Delta,1906,0.643,0.374
270,Delta,2203,0.617,0.149
271,Keyframe,8872,0.856,0.333
272,Delta,1769,0.600,0.163
273,Delta,2297,0.673,0.146
274,Delta,1728,0.726,0.174
275,Delta,1711,0.606,0.134
276,Delta,2062,0.721,0.381
277,Delta,2598,0.691,0.194
278,Delta,1912,0.675,0.148
279,Delta,1932,0.624,0.150
280,Delta,1943,0.679,0.240
281,Delta,2569,0.770,0.193
282,Delta,1969,0.690,0.162
283,Delta,1994,0.888,0.492
284,Delta,1957,0.723,0.190
285,Delta,2440,0.710,0.170
286,Keyframe,9091,0.779,0.362
287,Delta,1540,0.657,0.301
288,Delta,2070,0.704,0.161
289,Delta,1729,0.645,0.201
290,Delta,1723,0.595,0.194
291,Delta,1925,0.654,0.141
292,Delta,2249,0.589,0.333
293,Delta,1923,0.653,0.258
294,Delta,1878,0.665,0.167
295,Delta,1979,0.668,0.152
296,Delta,2301,0.627,0.161
297,Delta,1837,0.593,0.153
298,Delta,1858,0.618,0.172
299,Delta,1804,0.603,0.265
300,Delta,2167,0.887,0.381
301,Keyframe,8709,0.674,0.223
302,Delta,1420,0.636,0.144
303,Delta,2120,0.731,0.169
304,Delta,1828,0.604,0.159
305,Delta,1675,0.637,0.201
306,Delta,1676,0.651,0.342
307,Delta,2070,0.601,0.142
308,Delta,2329,0.698,0.162
309,Delta,1737,0.635,0.180
310,Delta,2066,0.589,0.166
311,Delta,2169,0.602,0.173
312,Delta,2198,0.583,0.163
313,Delta,2031,0.764,0.218
314,Delta,1976,0.629,0.201
315,Delta,2471,0.596,0.152
316,Keyframe,9170,0.643,0.324
317,Delta,1251,0.630,0.234
318,Delta,1859,0.663,0.192
319,Delta,1710,0.597,0.167
320,Delta,1562,0.694,0.217
321,Delta,1978,0.630,0.238
322,Delta,2044,0.622,0.161
323,Delta,2046,0.674,0.249
324,Delta,1861,0.669,0.176
325,Delta,1922,0.604,0.157
326,Delta,2032,0.603,0.165
327,Delta,2143,0.574,0.156
328,Delta,1971,0.597,0.150
329,Delta,1900,0.619,0.286
330,Delta,2443,0.559,0.155
331,Keyframe,9115,0.598,0.267
332,Delta,1395,0.559,0.160
333,Delta,1953,0.688,0.171
334,Delta,1860,0.633,0.183
335,Delta,1719,0.592,0.186
336,Delta,2059,0.666,0.277
337,Delta,2505,0.573,0.155
338,Delta,2287,0.761,0.171
339,Delta,2191,0.586,0.168
340,Delta,2123,0.610,0.163
341,Delta,2337,0.612,0.147
342,Delta,2107,0.654,0.276
343,Delta,2043,0.711,0.174
344,Delta,2147,0.673,0.193
345,Delta,2441,0.648,0.185
346,Keyframe,8937,0.637,0.249
347,Delta,1599,0.561,0.150
348,Delta,2133,0.641,0.159
349,Delta,1815,0.629,0.232
350,Delta,1767,0.690,0.172
351,Delta,1928,0.598,0.149
352,Delta,2363,0.604,0.200
353,Delta,1990,0.628,0.250
354,Delta,1880,0.605,0.174
355,Delta,1839,0.591,0.186
356,Delta,2059,0.612,0.188
357,Delta,2122,0.607,0.205
358,Delta,1993,0.798,0.151
359,Delta,1782,0.583,0.167
360,Delta,2462,0.587,0.156
361,Keyframe,8602,0.627,0.255
362,Delta,1518,0.551,0.194
363,Delta,1794,0.622,0.150
364,Delta,1549,0.597,0.167
365,Delta,1992,0.588,0.155
366,Delta,1728,0.573,0.159
367,Delta,2436,0.581,0.218
368,Delta,1758,0.616,0.147
369,Delta,1735,0.598,0.164
370,Delta,1730,0.558,0.145
371,Delta,2258,0.678,0.285
372,Delta,1767,0.560,0.149
373,Delta,1835,0.589,0.204
374,Delta,1745,0.585,0.162
375,Delta,2161,0.575,0.153
376,Keyframe,8640,0.633,0.323
377,Delta,1461,0.608,0.369
378,Delta,2053,0.697,0.204
379,Delta,1557,0.577,0.154
380,Delta,1688,0.579,0.138
381,Delta,2244,0.583,0.153
382,Delta,2641,0.638,0.177
383,Delta,2153,0.677,0.301
384,Delta,1987,0.636,0.377
385,Delta,2169,0.602,0.150
386,Delta,2585,0.603,0.151
387,Delta,2272,0.618,0.170
388,Delta,2040,0.625,0.194
389,Delta,1925,0.557,0.236
390,Delta,2444,0.582,0.229
391,Keyframe,9152,0.726,0.256
392,Delta,1596,0.577,0.149
393,Delta,2020,0.684,0.159
394,Delta,2019,0.671,0.175
395,Delta,1880,0.637,0.262
396,Delta,1745,0.656,0.159
397,Delta,2372,0.666,0.172
398,Delta,1820,0.706,0.166
399,Delta,1776,0.721,0.154
400,Delta,1924,0.786,0.138
401,Delta,2465,0.637,0.161
402,Delta,1977,0.635,0.165
403,Delta,1877,0.705,0.187
404,Delta,1891,0.722,0.164
405,Delta,2436,0.630,0.150
406,Keyframe,9398,0.765,0.323
407,Delta,1574,0.648,0.315
408,Delta,2106,0.734,0.229
409,Delta,1821,0.620,0.149
410,Delta,2436,0.621,0.145
411,Delta,2216,0.653,0.159
412,Delta,2635,0.618,0.203
413,Delta,2167,0.669,0.230
414,Delta,2135,0.611,0.156
415,Delta,2228,0.676,0.188
416,Delta,2658,0.614,0.153
417,Delta,2265,0.664,0.158
418,Delta,2146,0.640,0.150
419,Delta,2134,0.595,0.286
420,Delta,2728,0.641,0.155
421,Keyframe,9509,0.659,0.270
422,Delta,1591,0.583,0.160
423,Delta,2087,0.713,0.160
424,Delta,1771,0.614,0.171
425,Delta,2060,0.652,0.275
426,Delta,2013,0.625,0.155
427,Delta,2568,0.674,0.180
428,Delta,1986,0.643,0.145
429,Delta,2003,0.619,0.154
430,Delta,2064,0.591,0.152
431,Delta,2635,0.673,0.174
432,Delta,2055,0.597,0.186
433,Delta,2053,0.603,0.153
434,Delta,1834,0.661,0.164
435,Delta,2606,0.700,0.380
436,Keyframe,10172,0.601,0.261
437,Delta,1444,0.670,0.240
438,Delta,2271,0.792,0.175
439,Delta,1617,0.567,0.170
440,Delta,2155,0.568,0.350
441,Delta,1986,0.548,0.150
442,Delta,2768,0.606,0.167
443,Delta,2010,0.852,0.287
444,Delta,1969,0.627,0.197
445,Delta,2065,0.616,0.190
446,Delta,2889,0.637,0.185
447,Delta,2230,0.568,0.151
448,Delta,2171,0.701,0.168
449,Delta,2002,0.583,0.304
450,Delta,2813,0.628,0.165
451,Keyframe,8967,0.944,1.380
452,Delta,1455,0.555,0.148
453,Delta,2009,0.633,0.158
454,Delta,1581,0.571,0.153
455,Delta,1869,0.572,0.194
456,Delta,1750,0.559,0.352
457,Delta,2518,2.868,0.163
458,Delta,1899,0.795,0.255
459,Delta,1859,0.612,0.149
460,Delta,1758,0.563,0.150
461,Delta,2446,0.561,0.156
462,Delta,1861,0.566,0.163
463,Delta,1885,0.607,0.172
464,Delta,1796,0.557,0.172
465,Delta,2332,0.602,0.165
466,Keyframe,9394,0.616,0.338
467,Delta,1474,0.595,0.161
468,Delta,2142,0.732,0.160
469,Delta,1691,0.670,0.174
470,Delta,2107,0.624,0.207
471,Delta,2034,0.589,0.165
472,Delta,2488,0.632,0.169
473,Delta,2046,0.592,0.174
474,Delta,2079,0.639,0.176
475,Delta,2222,0.693,0.155
476,Delta,2644,0.644,0.158
477,Delta,2022,0.595,0.141
478,Delta,1968,0.602,0.158
479,Delta,1943,0.628,0.175
480,Delta,2280,0.574,0.158
481,Keyframe,9151,0.684,0.249
482,Delta,1452,0.584,0.360
483,Delta,1978,0.681,0.152
484,Delta,2022,0.644,0.201
485,Delta,1925,0.796,0.184
486,Delta,1842,0.626,0.160
487,Delta,2343,0.669,0.176
488,Delta,1903,0.668,0.147
489,Delta,1642,0.631,0.165
490,Delta,1832,0.645,0.157
491,Delta,2345,0.593,0.157
492,Delta,1796,0.669,0.150
493,Delta,1796,0.676,0.173
494,Delta,1756,0.770,0.165
495,Delta,2506,0.671,0.159
496,Keyframe,9422,0.620,0.334
497,Delta,1573,0.576,0.274
498,Delta,2184,0.646,0.150
499,Delta,1926,0.686,0.223
500,Delta,2300,0.626,0.272
501,Delta,2320,0.616,0.160
502,Delta,2759,0.617,0.143
503,Delta,2163,0.673,0.261
504,Delta,2140,0.649,0.169
505,Delta,2015,0.584,0.190
506,Delta,2632,0.630,0.155
507,Delta,2103,0.685,0.167
508,Delta,2082,0.646,0.182
509,Delta,2117,0.750,0.457
510,Delta,2718,0.647,0.183
511,Keyframe,9508,0.770,0.331
512,Delta,1625,0.699,0.143
513,Delta,2166,0.679,0.182
514,Delta,1810,0.836,0.203
515,Delta,2213,0.649,0.415
516,Delta,1995,0.645,0.145
517,Delta,2529,0.608,0.170
518,Delta,2014,0.677,0.166
519,Delta,1931,0.659,0.167
520,Delta,2023,0.723,0.202
521,Delta,2711,0.760,0.228
522,Delta,2152,0.669,0.162
523,Delta,2003,0.637,0.179
524,Delta,2030,0.591,0.165
525,Delta,2544,0.626,0.169
526,Keyframe,10128,0.707,0.264
527,Delta,1448,0.633,0.283
528,Delta,2317,0.663,0.197
529,Delta,1613,0.639,0.184
530,Delta,2135,0.598,0.191
531,Delta,1922,0.549,0.153
532,Delta,2641,0.561,0.142
533,Delta,1984,0.599,0.373
534,Delta,1976,0.593,0.159
535,Delta,2172,0.567,0.202
536,Delta,2878,0.704,0.186
537,Delta,2057,0.619,0.162
538,Delta,2089,0.669,0.160
539,Delta,2250,0.577,0.306
540,Delta,2901,0.620,0.157
541,Keyframe,10210,0.619,0.249
542,Delta,1739,0.554,0.137
543,Delta,2475,0.749,0.196
544,Delta,2001,0.897,0.177
545,Delta,2586,0.647,0.158
546,Delta,2495,0.588,0.153
547,Delta,2939,0.651,0.186
548,Delta,2518,0.606,0.201
549,Delta,2333,0.597,0.151
550,Delta,2435,0.653,0.141
551,Delta,3050,0.708,0.678
552,Delta,2460,0.655,0.152
553,Delta,2696,0.557,0.183
554,Delta,2370,0.685,0.184
555,Delta,3082,0.627,0.171
556,Keyframe,10192,0.636,0.274
557,Delta,1871,0.654,0.265
558,Delta,2830,0.712,0.167
559,Delta,2163,0.701,0.156
560,Delta,2128,0.586,0.155
561,Delta,2324,0.715,0.154
562,Delta,2718,0.596,0.168
563,Delta,2218,0.662,0.400
564,Delta,2135,0.606,0.165
565,Delta,1953,0.580,0.168
566,Delta,2531,0.619,0.146
567,Delta,2516,0.667,0.162
568,Delta,2172,0.614,0.185
569,Delta,2106,0.608,0.550
570,Delta,2928,0.607,0.156
571,Keyframe,9141,0.655,0.280
572,Delta,1658,0.549,0.145
573,Delta,2380,0.698,0.165
574,Delta,1820,0.664,0.190
575,Delta,2231,0.660,0.223
576,Delta,1820,0.628,0.164
577,Delta,3039,0.563,0.162
578,Delta,1884,0.660,0.148
579,Delta,1856,0.628,0.163
580,Delta,1812,0.703,0.152
581,Delta,2980,0.636,0.177
582,Delta,1833,0.666,0.166
583,Delta,2057,0.741,0.162
584,Delta,1812,0.606,0.154
585,Delta,2439,0.606,0.162
586,Keyframe,9506,0.643,0.466
587,Delta,1588,0.613,0.527
588,Delta,2448,0.646,0.456
589,Delta,1840,0.573,0.501
590,Delta,1899,0.759,0.426
591,Delta,1869,0.610,0.140
592,Delta,2749,0.716,0.258
593,Delta,2040,0.644,0.244
594,Delta,2045,0.595,0.217
595,Delta,2197,0.617,0.199
596,Delta,2714,0.815,0.147
597,Delta,2046,0.742,0.312
598,Delta,1793,0.568,0.157
599,Delta,1745,0.596,0.178
600,Delta,2578,0.607,0.166
601,Keyframe,9660,0.855,0.366
602,Delta,1544,0.584,0.158
603,Delta,2461,0.617,0.157
604,Delta,1638,0.683,0.300
605,Delta,1592,0.660,0.471
606,Delta,2304,0.646,0.147
607,Delta,2985,0.649,0.158
608,Delta,1954,0.839,0.228
609,Delta,1937,0.720,0.207
610,Delta,1845,0.666,0.168
611,Delta,2851,0.727,0.148
612,Delta,1927,0.884,0.275
613,Delta,1966,0.680,0.132
614,Delta,1895,0.593,0.146
615,Delta,2930,0.717,0.161
616,Keyframe,9771,0.749,0.278
617,Delta,1537,0.718,0.165
618,Delta,2424,0.946,0.209
619,Delta,1919,1.149,0.244
620,Delta,1874,0.728,0.153
621,Delta,2025,0.860,0.144
622,Delta,2651,0.833,0.195
623,Delta,2113,0.748,0.154
624,Delta,1847,0.644,0.169
