sequence,frameType,bytes,encodeMs,latencyMs
254,Delta,1970,1.387,0.095
255,Delta,2626,0.982,0.140
256,Keyframe,8975,1.352,140.604
257,Delta,1717,1.090,108.948
258,Delta,2364,1.255,77.224
259,Delta,1792,1.524,44.308
260,Delta,1856,1.127,0.339
261,Delta,1797,1.265,0.127
262,Delta,2477,1.537,141.477
263,Delta,1886,1.357,109.095
264,Delta,1912,1.533,78.383
265,Delta,1950,1.485,46.549
266,Delta,2344,1.220,124.931
267,Delta,1895,1.059,
268,Delta,1785,1.376,
269,Delta,1906,1.122,
270,Delta,2203,1.069,
271,Keyframe,8872,1.380,173.019
272,Delta,1769,0.967,142.806
273,Delta,2297,1.127,110.751
274,Delta,1728,1.062,63.947
275,Delta,1711,0.987,32.702
276,Delta,2062,1.143,2.014
277,Delta,2598,1.243,0.129
278,Delta,1912,1.261,0.139
279,Delta,1932,1.140,0.128
280,Delta,1943,1.142,0.124
281,Delta,2569,1.009,0.133
282,Delta,1969,1.034,0.093
283,Delta,1994,1.010,0.099
284,Delta,1957,1.035,0.111
285,Delta,2440,1.114,0.111
286,Keyframe,9091,1.397,0.207
287,Delta,1540,1.002,0.095
288,Delta,2070,1.205,124.835
289,Delta,1729,1.161,93.763
290,Delta,1723,1.230,125.456
291,Delta,1925,1.170,92.681
292,Delta,2249,1.254,62.100
293,Delta,1923,1.021,30.328
294,Delta,1878,1.295,0.227
295,Delta,1979,1.396,0.111
296,Delta,2301,1.288,126.136
297,Delta,1837,1.020,94.427
298,Delta,1858,1.263,64.267
299,Delta,1804,1.316,31.873
300,Delta,2167,1.386,0.234
